target_date,baseline,scenario,baseline_count,scenario_count,overlap_count,overlap_ratio,added_count,removed_count,added_symbols,removed_symbols
2026-03-17,baseline,lifecycle,20,20,20,1.0,0,0,,
2026-03-17,baseline,growth,20,20,20,1.0,0,0,,
2026-03-17,baseline,growth_trend,20,20,20,1.0,0,0,,
