symbol,region,market_cap,dividend_yield,safe_dividend_yield,buyback_yield,shareholder_yield,gross_profitability,base_book_equity,rd_asset_5y,sga_asset_3y_30pct,adjusted_book,adjusted_book_to_market,sector,industry,exchange,listing_exchanges,currency_code,currency_name,company_name,asset_type,country,country_iso,isin,primary_ticker,home_category,international_domestic,payout_ratio,shares_outstanding,price_proxy,52_week_high,200_day_ma,recency_ratio,distance_from_high,price_to_200dma,dividend_safety_pass,piotroski_score,total_revenue,full_time_employees,revenue_per_employee,gross_profit_per_employee,earnings_surprise_pct,earnings_report_date,pead_signal,pead_signal_v2,pead_surprise_component,pead_decay_component,pead_breadth_component,pead_revision_component,pead_analyst_count,pead_filter_pass,pead_has_setup_coverage,sue_signal,sue_has_coverage,sue_surprise_raw,sue_surprise_pct,sue_std_error,sue_report_date,revision_impulse_signal,revision_impulse_has_coverage,revision_impulse_analyst_count,revision_impulse_drift_7d,revision_impulse_drift_30d,revision_impulse_breadth,revision_impulse_growth_component,revision_impulse_coverage_component,revision_impulse_disagreement,revision_impulse_disagreement_penalty,revenue_growth_yoy,revenue_growth_yoy_prev,revenue_acceleration,revenue_growth_has_coverage,price_momentum_1m,price_momentum_6m,price_momentum_6m_ex_1m,price_momentum_has_coverage,price_momentum_effective_signal,price_momentum_signal_coverage,price_momentum_proxy_used,beneish_m_score,beneish_data_status,beneish_is_missing,beneish_is_pathological_clipped,beneish_hard_filter_pass,accrual_ratio,accrual_volatility,accrual_measure_count,accrual_is_quarterly,listing_symbol,analysis_symbol,listing_exchange,listing_currency_code,listing_currency_name,listing_country,listing_country_iso,analysis_exchange,analysis_currency_code,analysis_currency_name,analysis_country,analysis_country_iso,error,error_stage,sentiment_latest,sentiment_speed,sentiment_acceleration,sentiment_count_days,sentiment_article_count_recent,sentiment_article_count_total,sentiment_latest_count,sentiment_filter_pass,news_event_signal,news_event_effective_signal,news_event_breadth,news_article_count_recent,news_positive_article_share,news_negative_article_share,news_novelty_score,news_saturation_score,news_peer_spillover_signal,news_confirmation_signal,news_macro_multiplier,news_unique_title_ratio,news_novelty_multiplier,news_saturation_multiplier,news_peer_coverage,news_confirmation_coverage,beneish_hard_filter_threshold,beneish_missing_penalty_applied,forensic_penalty,earnings_signal_confidence,revision_signal_confidence,growth_signal_confidence,momentum_signal_confidence,news_signal_confidence,contrib_shareholder_yield,contrib_gross_profitability,contrib_adjusted_book_to_market,contrib_earnings,contrib_revision_impulse,contrib_growth,contrib_momentum,contrib_news_event,contrib_employee_efficiency,contrib_forensic,passes_size,passes_trend_gate,passes_quality_gate,passes_forensic_gate,factor_non_null_count,factor_positive_count,passes_factor_gate,z_shareholder_yield,z_gross_profitability,z_adjusted_book_to_market,z_pead_signal,z_sue_signal,z_revision_impulse_signal,z_revenue_growth_yoy,z_revenue_acceleration,z_price_momentum_effective_signal,z_news_event_effective_signal,z_beneish_risk,z_accrual_volatility_risk,life_cycle_growth_score,life_cycle_mature_score,life_cycle_recovery_score,life_cycle_confidence,life_cycle_stage,life_cycle_tilt_strength_applied,life_cycle_core_weight_shareholder_yield,life_cycle_core_weight_gross_profitability,life_cycle_core_weight_adjusted_book_to_market,life_cycle_pead_multiplier,life_cycle_growth_multiplier,life_cycle_momentum_multiplier,life_cycle_revision_impulse_multiplier,life_cycle_forensic_multiplier,news_own_confidence,news_has_coverage,composite_score,sentiment_has_coverage,rank,regime,neutralize_by,macro_state
PVH.US,US,4383230976.0,0.0016,0.0016,0.15520282186948853,0.15680282186948852,0.44076705761493024,4792300000.0,,2519920000.0,7312220000.0,1.6682260277948904,Consumer Cyclical,Apparel Manufacturing,NYSE,"F,US",USD,US Dollar,PVH Corp,Common Stock,USA,US,US6936561009,PVH.US,Domestic,Domestic,,47900000.0,91.50795356993737,91.56,73.9492,0.9994315593046895,-0.0005684406953104792,1.2374434553712192,1.0,5.0,8950200000.0,15000.0,596680.0,343240.0,5.8172,2026-04-06,,,0.22857747064866493,0.9402466140861618,,,,1.0,0.0,0.6331018843045885,1.0,0.20999999999999996,5.8172,0.3317001658124396,2026-04-06,0.20885441502623725,1.0,13.0,0.004781937812973073,0.012278735297542883,0.38461538461538464,0.5364,1.0,0.21887009432863627,0.10943504716431814,0.05629111148591659,0.017382821160924156,0.038908290324992434,1.0,,,,0.0,0.15413929174793384,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.06419302057812676,0.025120101044071943,8.0,1.0,PVH.US,PVH.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,,,0.9038048599415274,0.012240177685812759,-0.00896618502219182,17.0,8.0,43.0,1.0,1.0,0.5715544616360375,0.5715544616360375,3.0,17.0,0.9411764705882353,0.0,0.961764705882353,0.8823529411764706,0.0,0.0,1.0,0.9411764705882353,1.0,1.0,0.0,0.0,-1.4,0.0,0.2020606455590114,0.8,1.0,1.0,0.865,1.0,0.5896199459252959,0.09904661391206668,0.2940861989402338,-0.008048240462549308,0.058532166724318824,-0.010620452129144108,0.12330398354623812,-0.0016025297684685597,0.0,-0.02091327681535768,True,True,True,True,3,3,True,2.373728575406148,0.46316524062351605,2.134791527022111,,-0.325786935822106,1.0109182508517933,-0.24571512617250152,-0.0027589050029086055,1.4771809104344318,-0.026708829474475997,,0.2020606455590114,-0.31126367692991896,1.586480050642259,0.3702949015005985,1.2161851491416604,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,1.0,True,1.1234044098726337,True,1,neutral,sector,neutral
SAM.US,US,2771708416.0,0.0,0.0,0.0999660268387973,0.0999660268387973,0.7980763994487242,846280000.0,,112673300.0,958953300.0,0.34597914212921305,Consumer Defensive,Beverages - Brewers,NYSE,US,USD,US Dollar,Boston Beer Company Inc,Common Stock,USA,US,US1005571070,SAM.US,Domestic,Domestic,,10597000.0,261.55595130697367,264.05,214.0169,0.9905546347546815,-0.009445365245318471,1.2221275577161135,1.0,7.0,2087251000.0,2736.0,762884.1374269006,348165.2046783626,-7.0707,2026-02-18,-0.0,-0.0,-0.27552043365183665,0.0,1.0,0.036093814670741416,14.0,1.0,1.0,-0.14819510628552657,1.0,-0.14000000000000012,-7.0707,0.9447005606937048,2026-02-18,0.10057313290144561,1.0,12.0,-0.0016178242022983434,-0.017101456921034323,-0.08333333333333333,0.568,1.0,0.2732276472088136,0.1366138236044068,0.2625957310358713,-0.1122800700934965,0.3748758011293678,1.0,,,,0.0,0.1410770346796123,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.05118523266163866,0.02950471290023823,8.0,1.0,SAM.US,SAM.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,,,0.9937815885778533,0.0008167976957726975,-0.0006020141923005484,15.0,6.0,26.0,1.0,1.0,0.5290119826267252,0.5290119826267252,3.0,8.0,1.0,0.0,0.8375,1.0,0.0,0.0,1.0,0.75,1.0,1.0,0.0,0.0,-1.4,0.0,0.4630071646008207,1.0,1.0,1.0,0.865,1.0,0.5111846522882433,0.4038555655112326,-0.06868514961764154,-0.03897041437168278,-0.002179977724264721,0.1895,0.0509168202252518,0.02015649450866793,0.0,-0.04792124153618494,True,True,True,True,3,3,True,2.0579589018845654,1.8885235223005232,-0.4985901275353149,-0.4287484706159371,-0.618872578133179,-0.03765073789749087,2.0,2.0,0.6099831708077725,0.33594157514446554,,0.4630071646008207,0.6246982125635452,1.9094720964995948,-0.42904734984797394,1.2847738839360496,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,1.0,True,1.0178567492836215,True,2,neutral,sector,neutral
WHD.US,US,3744962560.0,0.0106,0.0106,0.13639491960207717,0.14699491960207717,0.3148614273112501,1226390000.0,,82809000.0,1309199000.0,0.3495893427570074,Energy,Oil & Gas Equipment & Services,NYSE,"F,US",USD,US Dollar,Cactus Inc,Common Stock,USA,US,US1272031071,WHD.US,Domestic,Domestic,,69015000.0,54.26302340070999,59.0964,45.333,0.9182119960050018,-0.08178800399499819,1.1969872587455053,1.0,7.0,1079051000.0,1500.0,719367.3333333334,392866.6666666667,12.069,2026-02-25,0.015139858573060168,0.015139858573060168,0.4484512775358549,0.5077612562521375,1.0,0.06648857006786518,8.0,1.0,1.0,1.2976044403935214,1.0,0.07000000000000006,12.069,0.053945561390627894,2026-02-25,0.024659842101288416,1.0,6.0,-0.0022112655012700056,-0.05874794561482149,-0.3333333333333333,0.5044,1.0,0.20830718661287909,0.10415359330643954,-0.04012185755601372,-0.09968927045067721,0.059567412894663496,1.0,,,,0.0,0.09941591678632906,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.016074861504129786,0.009031823460947667,8.0,1.0,WHD.US,WHD.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,,,0.9901130467289716,0.0021036153836181404,0.0010077324253612296,8.0,6.0,11.0,1.0,1.0,0.6470859686484373,0.6470859686484373,1.0,4.0,1.0,0.0,0.7666666666666667,0.8,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.7554197815375292,1.0,1.0,1.0,0.865,0.8666666666666667,0.4550494380467618,0.5070116442580849,-0.1027831915673707,0.05200088867758279,-0.02723840682707428,0.013147313641008879,-0.03968456978525388,0.05718933360308717,0.0,0.07818594738913427,True,True,True,True,3,3,True,1.8319662721365322,2.370905586133434,-0.7461101108077012,0.7552458013404267,0.5510979002426886,-0.4704388053035282,-0.2648356716027288,0.4689708724196733,-0.4754208845458549,1.0997948769824457,,-0.7554197815375292,-0.4697212363131918,1.4234031828917493,-0.4695869492647812,1.8929901321565303,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.8666666666666667,True,0.992878397435961,True,3,neutral,sector,neutral
NRG.US,US,34358220800.0,0.0119,0.0119,0.061320754716981174,0.07322075471698117,0.23026767330130404,1681000000.0,,1384900000.0,3065900000.0,0.08923337497150027,Utilities,Utilities - Independent Power Producers,NYSE,US,USD,US Dollar,NRG Energy Inc.,Common Stock,USA,US,US6293775085,NRG.US,Domestic,Domestic,,199000000.0,172.65437587939698,189.96,159.2953,0.9088985885417823,-0.09110141145821771,1.08386359094962,1.0,6.0,30710000000.0,16702.0,1838701.9518620525,401748.29361753084,1.9608,2026-03-04,9.02013744082525e-05,9.02013744082525e-05,0.07827156788121041,0.5655701084185465,1.0,0.0020376175548589186,11.0,1.0,1.0,0.022892998019477577,1.0,0.020000000000000018,1.9608,0.8736295693112728,2026-03-04,0.1731433748342575,1.0,11.0,-0.0016932774226721776,0.023750210551511906,-0.09090909090909091,0.9556,1.0,0.4379471449214975,0.21897357246074875,0.13653028303270265,0.05704001107573031,0.07949027195697234,1.0,,,,0.0,0.02262584010687676,1.0,1.0,-3.006425624177786,ok,0.0,0.0,1.0,-0.0021464480051213495,0.01194989925681071,8.0,1.0,NRG.US,NRG.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,,,0.9404621419224444,0.02470750621141138,0.007654492162995075,19.0,7.0,35.0,2.0,1.0,0.4893112858222229,0.4893112858222229,3.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.6993014944863211,1.0,1.0,1.0,0.865,1.0,0.4469988877825219,0.46353513572883775,-0.2078154981568509,0.016656016025292885,0.1062009316153095,0.09559503205266486,-0.07465671644146207,0.0307830757932601,0.0,0.07237770467933423,True,True,True,True,3,3,True,1.7995558671934286,2.1675992161418614,-1.5085466990556895,0.26525764010719177,0.14149229713496636,1.83421298126614,0.6538092305219927,1.299462527921005,-0.8943869710558815,0.5130512632210017,-0.8168500555415739,-0.5817529334310683,-0.0901662739169225,0.6798272469768936,-1.0584685590046994,0.769993520893816,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,1.0,True,0.9496745690789082,True,4,neutral,sector,neutral
DLX.US,US,1288565632.0,0.0423,0.0423,-0.01728262570706729,0.025017374292932708,0.3949224748568236,683800000.0,,539352600.0,1223152600.0,0.9492357778482176,Industrials,Conglomerates,NYSE,"F,US",USD,US Dollar,Deluxe Corporation,Common Stock,USA,US,US2480191012,DLX.US,Domestic,Domestic,,45500000.0,28.32012378021978,28.99,21.2806,0.9768928520255186,-0.023107147974481435,1.3307953619832045,1.0,6.0,2133199999.0,4571.0,466681.2511485452,247407.56924086635,15.3153,2026-02-03,0.0,0.0,0.545963139116695,0.0,1.0,0.16666666666666666,3.0,1.0,1.0,1.4821573939836952,1.0,0.12749999999999995,15.3153,0.08602325267042626,2026-02-03,0.10067549863849,1.0,3.0,0.0,0.0,0.3333333333333333,0.2264,0.75,0.081457863011148,0.040728931505574,0.028343316440814004,0.022335384638675126,0.006007931802138877,1.0,,,,0.0,0.2069294834980144,1.0,1.0,-2.658231081508424,ok,0.0,0.0,1.0,-0.03191305518732533,0.007750520428376659,8.0,1.0,DLX.US,DLX.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,,,0.9962922969876232,-0.0014924142830599063,-0.001755373746096467,13.0,5.0,19.0,1.0,1.0,0.45622974786954534,0.45622974786954534,3.0,10.0,0.9,0.0,0.935,0.8,0.0,0.0,1.0,0.9,1.0,1.0,0.0,0.0,-1.4,0.0,-0.3965640043732106,1.0,0.925,1.0,0.865,1.0,0.07996633956071593,0.2765281734589479,0.33955967044630614,0.014679138184097343,-0.023253869338760762,-0.030424091743584757,0.08117854880556413,0.01748117627468154,0.0,0.0410443744526273,True,True,True,True,3,3,True,0.3219334532315029,1.2931107176768557,2.4648865196646366,-0.04658463013324611,0.545237637690068,-0.4341851157869722,-0.640863397817383,-0.05947284469457594,0.9725184798054943,0.29135293791135897,0.03854745451511378,-0.831675463261535,-0.12362321836001701,0.7607665380166381,0.7013358562979578,0.05943068171868027,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,1.0,True,0.7967594601005947,True,5,neutral,sector,neutral
DTE.US,US,31408082944.0,0.0299,0.0299,0.0,0.0299,0.24843709540191616,12303000000.0,,900000.0000000001,12303900000.0,0.3917431070829001,Utilities,Utilities - Regulated Electric,NYSE,US,USD,US Dollar,DTE Energy Company,Common Stock,USA,US,US2333311072,DTE.US,Domestic Primary,Domestic,,207000000.0,151.72986929468598,153.4256,137.6815,0.9889475374037057,-0.011052462596294332,1.102035271947836,1.0,7.0,15814000000.0,9650.0,1638756.4766839377,1391917.098445596,3.7736,2026-02-05,0.0,0.0,0.1498079782165767,0.0,1.0,0.06794466166521594,15.0,1.0,1.0,0.3909840238034425,1.0,0.05999999999999983,3.7736,0.1534589557300258,2026-02-05,0.07631272779474417,1.0,16.0,0.0003247846797864616,0.0032117596112207028,0.0,0.3104,1.0,0.05533368618582484,0.02766684309291242,0.2339930151338765,0.21369580178940129,0.020297213344475207,1.0,,,,0.0,0.06245456485739033,1.0,1.0,,missing,1.0,0.0,1.0,-0.01298848191226648,0.004083234309516329,8.0,1.0,DTE.US,DTE.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,,,0.9844833931150975,0.005781325520557656,-0.011470023493787562,18.0,11.0,33.0,3.0,1.0,0.4986083956528677,0.4986083956528677,2.0,17.0,1.0,0.0,0.8833333333333333,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.25,-0.3999654695514142,1.0,1.0,1.0,0.865,0.9333333333333333,0.22222308564300405,0.4782550671312466,-0.10147104521120723,0.0304295839150417,0.003975167814444936,0.09849312003439537,-0.014448643752195948,0.03557824035455662,0.0,0.041396426098571366,True,True,True,True,3,3,True,0.8946394913386456,2.236433074268613,-0.7365851520253953,0.25705716758177694,0.5998282355133999,0.06865574809058612,1.7202095442301288,0.4825653267888365,-0.17309465694924614,0.6353257206170825,0.25,-1.0499309391028284,-0.059256476938855863,0.4273786075182858,-0.21522826502119669,0.4866350844571417,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.9333333333333333,True,0.7944310020278575,True,6,neutral,sector,neutral
CMPR.US,US,1853837824.0,0.0,0.0,0.05065128138681996,0.05065128138681996,0.821811818647416,-583490000.0,940713600.0,127631300.0,484854900.0,0.26154116272902195,Industrials,Specialty Business Services,NASDAQ,US,USD,US Dollar,Cimpress NV,Common Stock,USA,US,IE00BKYC3F77,CMPR.US,Domestic,Domestic,,25636865.0,72.31140874674028,82.43,65.1111,0.8772462543581254,-0.12275374564187458,1.1105849654934457,1.0,5.0,3403079000.0,15000.0,226871.93333333332,107829.6,18.9024,2026-01-28,0.0,0.0,0.638771667923436,0.0,0.6666666666666666,0.25,2.0,1.0,1.0,0.202562736885995,1.0,0.31000000000000005,18.9024,1.5303900646567201,2026-01-28,0.1245791245791246,1.0,2.0,0.0,0.0,0.0,1.0,0.5,0.006734006734006591,0.0033670033670032953,0.10971837569570231,0.07243508756237826,0.037283288133324044,1.0,,,,0.0,0.028916416596083586,1.0,1.0,-3.1004440002333653,ok,0.0,0.0,1.0,-0.056793702295151724,0.026506291795467665,8.0,1.0,CMPR.US,CMPR.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,,,0.999,,,1.0,1.0,1.0,1.0,1.0,0.34964999999999996,0.34964999999999996,0.0,1.0,1.0,0.0,0.65,0.2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.38163156059311415,1.0,0.85,1.0,0.865,0.5666666666666667,0.36168743942677095,0.4909171663064767,-0.049092389300069615,-0.01381404525513241,-0.006969098543238614,0.026095654444115473,-0.054734625209725954,-0.004057476393353053,0.0,0.039498866521387316,True,True,True,True,3,3,True,1.4561037432095003,2.2956440253517147,-0.3563649606704535,-0.04658463013324611,-0.3774690799015689,-0.14160517206621182,0.13510216689103208,0.39021800534035195,-0.6557204493662697,-0.11933754098097217,-1.0478217536071686,0.28455863242094026,-0.004525429262392702,1.3671278148320798,-1.140283632951773,1.3716532440944724,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.5666666666666667,False,0.7895314919972308,False,7,neutral,sector,neutral
BCRX.US,US,2480418304.0,0.0,0.0,-0.05749990323954024,-0.05749990323954024,1.66439499142287,-119153000.0,578856400.0,175008300.0,634711700.0,0.2558889760555484,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,US,USD,US Dollar,BioCryst Pharmaceuticals Inc,Common Stock,USA,US,US09058V1035,BCRX.US,Domestic,Domestic,,218581000.0,11.347822107136485,11.31,7.8741,1.0033441297202905,0.003344129720290523,1.4411579872158704,1.0,7.0,874837000.0,435.0,2011119.5402298851,1967268.9655172413,100.0,2026-02-25,0.09492564127714036,0.09492564127714036,0.999329299739067,0.5077612562521375,0.6666666666666666,0.28061224489795916,2.0,1.0,1.0,8.0,1.0,1.0868,100.0,0.08684838711081513,2026-02-25,0.20461346633416458,1.0,5.0,0.0,0.0,0.2,1.0,1.0,0.6359102244389028,0.3179551122194514,2.0908738425045996,0.36136140410812656,1.729512438396473,1.0,,,,0.0,0.28792313709241746,1.0,1.0,-2.4512029124692734,ok,0.0,0.0,1.0,-0.06285980790812237,0.04591816881454058,8.0,1.0,BCRX.US,BCRX.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,,,0.9031167666259754,0.02107953366564974,-0.009701723966996534,9.0,6.0,11.0,1.0,1.0,0.47538438883328193,0.47538438883328193,1.0,5.0,1.0,0.0,0.6366666666666667,1.0,0.0,0.0,1.0,0.8,1.0,1.0,0.0,0.0,-1.4,0.0,0.9934933589097541,1.0,1.0,1.0,0.865,0.8666666666666667,-0.19595590566055904,0.5005330538593002,-0.08081244742186752,0.188,0.07839803893732647,0.23500000000000001,0.153629134591444,0.010014947116143882,0.0,-0.09934933589097542,True,True,True,True,3,2,True,-0.9207843959729901,2.0824037998820697,-0.5504080760337051,2.0,2.0,1.1120289210968295,2.0,2.0,1.6331580316677325,0.19259513684892082,0.5471464088526788,1.4398403089668295,2.44631467467372,-0.3986100499648645,0.26008283991054604,2.186231834763174,growth,0.35,0.354690172345744,0.400605183528483,0.24470464412577295,1.175,1.175,1.0875,1.175,1.0,0.8666666666666667,True,0.7894574855308126,True,8,neutral,sector,neutral
TCMD.US,US,545099776.0,0.0,0.0,0.034920352946966604,0.034920352946966604,0.9042133006256798,218902000.0,24207400.0,47045900.0,290155300.0,0.5322975953672012,Healthcare,Medical Devices,NASDAQ,US,USD,US Dollar,Tactile Systems Technology Inc,Common Stock,USA,US,US87357P1003,TCMD.US,Domestic,Domestic,,23295328.0,23.399532129360875,37.77,20.4416,0.6195269295568142,-0.3804730704431858,1.1447015952450332,1.0,8.0,329522000.0,1086.0,303427.25598526705,228086.5561694291,3.3708,2026-02-18,0.0,0.0,0.13402083119301605,0.0,0.6666666666666666,0.5,2.0,1.0,1.0,0.17958625015920507,1.0,0.015000000000000013,3.3708,0.08352532550071265,2026-02-18,0.2531044558071585,1.0,2.0,0.13513513513513511,0.13513513513513511,1.0,1.0,0.5,0.21621621621621612,0.10810810810810806,0.21042238710054328,0.173231362784398,0.037191024316145294,1.0,,,,0.0,-0.03910953774584343,1.0,1.0,-2.9379958167915525,ok,0.0,0.0,1.0,-0.0249925438785712,0.010767556312223257,8.0,1.0,TCMD.US,TCMD.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,,,0.996,-0.0030000000000000027,,2.0,2.0,2.0,1.0,1.0,0.3475499999999999,0.3475499999999999,0.0,1.0,1.0,0.0,0.65,0.2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.6504299992974156,1.0,0.85,1.0,0.865,0.5666666666666667,0.21978537993657235,0.44531633008184734,0.049723815894564975,-0.01985179295412818,0.07900710203850543,-0.009283319021890814,-0.08983273895248478,-0.03431510197441475,0.0,0.06731950492728252,True,True,True,True,3,3,True,0.8848256243998214,2.0824037998820697,0.3609485288512203,-0.20186439778354132,-0.3400723461397197,1.6053459725389707,-0.18653519233289936,-0.02552026402104708,-1.0761956207431762,-1.0092677051298458,-0.6487409105702062,-0.652119088024625,0.25294000366996355,1.4231883875970623,-1.0611418649110154,1.1702483839270987,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.5666666666666667,False,0.7078691799758541,False,9,neutral,sector,neutral
MYRG.US,US,4895589376.0,0.0,0.0,0.05208544112307878,0.05208544112307878,0.25777593412482,660423000.0,,147432600.0,807855600.0,0.16501702613385197,Industrials,Engineering & Construction,NASDAQ,"F,US",USD,US Dollar,MYR Group Inc,Common Stock,USA,US,US55405W1045,MYRG.US,Domestic,Domestic,,15665236.0,312.5129666734673,321.68,219.9984,0.9715026320363942,-0.028497367963605802,1.4205238159616946,1.0,8.0,3657845000.0,9000.0,406427.22222222225,47089.333333333336,25.2688,2026-02-25,0.02810675266436469,0.02810675266436469,0.7660728727989241,0.5077612562521375,1.0,0.07225718332658838,7.0,1.0,1.0,0.6423567110229305,1.0,0.47,25.2688,0.7316806875910762,2026-02-25,0.1727714661190494,1.0,6.0,0.0,0.0048186920426210285,0.16666666666666666,0.63,1.0,0.2754872388707826,0.1377436194353913,0.17318132791834118,0.07021844662927368,0.1029628812890675,1.0,,,,0.0,0.26336640158783947,1.0,1.0,-3.285038525824145,ok,0.0,0.0,1.0,-0.04762554755243416,0.0186559220563466,8.0,1.0,MYRG.US,MYRG.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,,,0.9450867912446747,0.014205676528059707,-0.00365837774735589,13.0,5.0,16.0,1.0,1.0,0.3409234537485949,0.3409234537485949,0.0,6.0,1.0,0.0,0.65,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.8419791641128199,1.0,1.0,1.0,0.865,0.8,0.3774491045058644,0.03878634900725673,-0.10591812980149373,0.06549861311532966,0.025954729112599235,0.10111172250851548,0.12426819836176684,-0.007342276474428466,0.0,0.08714484348567686,True,True,True,True,3,3,True,1.5195580327951608,0.18137408197318647,-0.7688668386108429,1.454270541627429,-0.060336734872178006,0.4482682057443737,0.7402638221993805,1.3345881274068483,1.488732197571258,-0.1529640932172597,-1.5013087507034677,-0.1826495775221722,0.40723127656853153,0.5495866888760429,-0.38687839033101595,0.14235541230751136,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.8,True,0.706953153821087,True,10,neutral,sector,neutral
