scenario,final_ranked_count,top_n,top_n_count,top_n_median_composite_score,top_n_median_shareholder_yield,top_n_median_gross_profitability,top_n_median_adjusted_book_to_market,top_n_sector_top_share
baseline,34,25,25,0.3224535604221868,0.0114285714285714,0.2507812205865743,0.3236934584150243,0.28
lifecycle,34,25,25,0.3648716739605519,0.0114285714285714,0.2507812205865743,0.3236934584150243,0.28
growth,34,25,25,0.3450406148444941,0.0114285714285714,0.2507812205865743,0.3236934584150243,0.28
growth_trend,34,25,25,0.2601483438193734,0.0114285714285714,0.2507812205865743,0.3236934584150243,0.28
