symbol,error,error_stage,region,market_cap,dividend_yield,safe_dividend_yield,buyback_yield,shareholder_yield,gross_profitability,base_book_equity,rd_asset_5y,sga_asset_3y_30pct,adjusted_book,adjusted_book_to_market,sector,industry,exchange,company_name,asset_type,country,payout_ratio,shares_outstanding,price_proxy,52_week_high,200_day_ma,recency_ratio,distance_from_high,price_to_200dma,dividend_safety_pass,piotroski_score,total_revenue,full_time_employees,revenue_per_employee,gross_profit_per_employee,earnings_surprise_pct,earnings_report_date,pead_signal,pead_signal_v2,pead_surprise_component,pead_decay_component,pead_breadth_component,pead_revision_component,pead_analyst_count,pead_filter_pass,pead_has_setup_coverage,sue_signal,sue_has_coverage,sue_surprise_raw,sue_surprise_pct,sue_std_error,sue_report_date,revision_impulse_signal,revision_impulse_has_coverage,revision_impulse_analyst_count,revision_impulse_drift_7d,revision_impulse_drift_30d,revision_impulse_breadth,revision_impulse_growth_component,revision_impulse_coverage_component,revision_impulse_disagreement,revision_impulse_disagreement_penalty,revenue_growth_yoy,revenue_growth_yoy_prev,revenue_acceleration,revenue_growth_has_coverage,price_momentum_1m,price_momentum_6m,price_momentum_6m_ex_1m,price_momentum_has_coverage,price_momentum_effective_signal,price_momentum_signal_coverage,price_momentum_proxy_used,beneish_m_score,beneish_data_status,beneish_is_missing,beneish_is_pathological_clipped,beneish_hard_filter_pass,accrual_ratio,accrual_volatility,accrual_measure_count,accrual_is_quarterly,sentiment_latest,sentiment_speed,sentiment_acceleration,sentiment_count_days,sentiment_article_count_recent,sentiment_article_count_total,sentiment_latest_count,sentiment_filter_pass,beneish_hard_filter_threshold,beneish_missing_penalty_applied,forensic_penalty,earnings_signal_confidence,revision_signal_confidence,growth_signal_confidence,momentum_signal_confidence,contrib_shareholder_yield,contrib_gross_profitability,contrib_adjusted_book_to_market,contrib_earnings,contrib_revision_impulse,contrib_growth,contrib_momentum,contrib_employee_efficiency,contrib_forensic,passes_size,passes_trend_gate,passes_quality_gate,passes_forensic_gate,factor_non_null_count,factor_positive_count,passes_factor_gate,z_shareholder_yield,z_gross_profitability,z_adjusted_book_to_market,z_pead_signal,z_sue_signal,z_revision_impulse_signal,z_revenue_growth_yoy,z_revenue_acceleration,z_price_momentum_effective_signal,z_beneish_risk,z_accrual_volatility_risk,life_cycle_growth_score,life_cycle_mature_score,life_cycle_recovery_score,life_cycle_confidence,life_cycle_stage,life_cycle_tilt_strength_applied,life_cycle_core_weight_shareholder_yield,life_cycle_core_weight_gross_profitability,life_cycle_core_weight_adjusted_book_to_market,life_cycle_pead_multiplier,life_cycle_growth_multiplier,life_cycle_momentum_multiplier,life_cycle_revision_impulse_multiplier,life_cycle_forensic_multiplier,composite_score,sentiment_has_coverage,rank,regime,neutralize_by,macro_state
TCMD.US,,,US,585656000.0,0.0,0.0,0.034920352946966604,0.034920352946966604,0.9042133006256798,218902000.0,24207400.0,47045900.0,290155300.0,0.49543639952463564,Healthcare,Medical Devices,NASDAQ,Tactile Systems Technology Inc,Common Stock,USA,,23295328.0,25.14049169000754,37.77,19.6406,0.6656206431031914,-0.33437935689680864,1.2800266636460975,1.0,8.0,329522000.0,1086.0,303427.25598526705,228086.5561694291,3.3708,2026-02-18,0.026871735880288898,0.026871735880288898,0.13402083119301605,0.6015125180410583,0.6666666666666666,0.5,2.0,1.0,1.0,0.17958625015920507,1.0,0.015000000000000013,3.3708,0.08352532550071265,2026-02-18,0.2531044558071585,1.0,2.0,0.13513513513513511,0.13513513513513511,1.0,1.0,0.5,0.21621621621621612,0.10810810810810806,0.21042238710054328,0.173231362784398,0.037191024316145294,1.0,,,,0.0,0.06498455645608038,1.0,1.0,-2.9379958167915525,ok,0.0,0.0,1.0,-0.0249925438785712,0.010767556312223257,8.0,1.0,0.9844999999999999,-0.00550000000000006,,2.0,2.0,2.0,1.0,1.0,-1.4,0.0,-0.7020199044769241,1.0,0.85,1.0,0.865,0.23782199411157193,0.4482129358950454,0.03574577572574939,-0.0037904221309902827,0.07094036457309816,0.032543614915902457,0.010282492812195874,0.0,0.07265906011336164,True,True,True,True,3,3,True,0.8703986775086527,1.9054081902808548,0.23589181249069663,0.16051385158473316,-0.3635176080438835,1.441437865957496,0.16421776768504748,0.4901277015347803,0.12318419613879868,-0.7607761945183215,-0.6432636144355267,0.4415755277075863,1.361539808177194,-0.8178934380877613,0.9199642804696078,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.9044158160159346,False,1,neutral,sector,neutral
ITRN.US,,,US,966629056.0,0.1232,0.1232,0.0010053282396702556,0.12420532823967026,0.4623783705406847,217564000.0,55028600.0,16911100.000000004,289503700.0,0.2994982389604477,Technology,Scientific & Technical Instruments,NASDAQ,Ituran Location and Control Ltd,Common Stock,USA,,19874000.0,48.63787138975546,51.76,40.5462,0.9396806682719371,-0.06031933172806292,1.199566701435781,1.0,7.0,359023000.0,2800.0,128222.5,63777.5,6.6482,2026-03-04,0.033543468138824,0.033543468138824,0.2598317807423732,0.7462742321549556,0.3333333333333333,0.5189655172413793,1.0,1.0,1.0,1.2498135454159105,1.0,0.04800000000000004,6.6482,0.03840572873934303,2026-03-04,0.10920490956072351,1.0,1.0,0.09043927648578813,0.09043927648578813,1.0,0.5664,0.25,0.0,0.0,0.1280600364369051,0.10540375423759274,0.022656282199312372,1.0,,,,0.0,0.1086065898284356,1.0,1.0,,missing,1.0,0.0,1.0,-0.043918978839518806,0.015020732862853927,8.0,1.0,0.9922500000000001,0.004750000000000032,0.015249999999999986,3.0,3.0,3.0,1.0,1.0,-1.4,0.25,-0.06241087834653411,1.0,0.7749999999999999,1.0,0.865,0.4861657029229577,0.42959798870970844,-0.015299784093522735,0.015588712318099614,-0.037223074439828537,0.017313141359725087,-0.011786002098312294,0.0,0.00645952590886628,True,True,True,True,3,3,True,1.7793055114813576,1.8262737655731929,-0.1009656029911698,0.37316966045553995,-0.05493867727334839,-0.8295297663341367,0.027433581007854816,0.3097806102087345,-0.14119622747985616,0.25,-0.3748217566930682,0.029503189786079853,1.7138266820353392,-0.7026052754762593,1.6843234922492594,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.8908162105876936,True,2,neutral,sector,neutral
RNG.US,,,US,3222081536.0,0.008,0.008,0.04506568233633701,0.05306568233633701,1.2090384115616066,-588119000.0,988812200.0,162267100.0,562960300.0,0.1747194457092721,Technology,Software - Application,NYSE,Ringcentral Inc,Common Stock,USA,,87959000.0,36.63162991848475,42.3443,29.4114,0.865089986573984,-0.13491001342601605,1.2454908613151616,1.0,8.0,2515142000.0,7378.0,340897.53320683114,242767.14556790458,3.5088,2026-02-19,0.03725733450675761,0.03725733450675761,0.13943762092275472,0.6108495036238286,1.0,0.43741894770969386,16.0,1.0,1.0,2.043057867843106,1.0,0.040000000000000036,3.5088,0.019578495856423673,2026-02-19,0.13472110013040145,1.0,14.0,0.0,-0.02843673678032524,0.35714285714285715,0.3652,1.0,0.44680891345917195,0.22340445672958598,0.04803974535891897,0.04909940617479647,-0.0010596608158774945,1.0,,,,0.0,0.11235055515574945,1.0,1.0,-4.437832301300082,ok,0.0,0.0,1.0,-0.08812683557438655,0.009716118276838041,8.0,1.0,0.974850369983322,0.005064628286960526,0.0044336961670848885,14.0,6.0,26.0,1.0,1.0,-1.4,0.0,-1.3548128868367173,1.0,1.0,1.0,0.865,0.343222292957089,0.5117411836361988,-0.11143353276565726,0.04149492575890888,-0.03437357504888452,-0.017234887110562796,-0.009455687611625917,0.0,0.14022313378760023,True,True,True,True,3,3,True,1.256150554944832,2.1754745669204834,-0.7353668365741206,0.44087601624697526,0.6824335714491251,-0.59367141707918,-0.5444451446036018,0.114730491580202,-0.11327907528378708,-2.0,-0.7096257736734345,0.34130414136560894,1.620756325363587,-1.2626371063599346,1.2794521839979782,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.8641838536030665,True,3,neutral,sector,neutral
GCT.US,,,US,1493757440.0,0.0,0.0,0.0720401234668282,0.0720401234668282,0.25004262099580943,485799000.0,21590200.0,33617700.0,541006900.0,0.36217854754249795,Technology,Software - Infrastructure,NASDAQ,GigaCloud Technology Inc Class A Ordinary Shares,Common Stock,USA,,38232899.0,39.06994967867856,48.0,31.4966,0.81395728497247,-0.18604271502753,1.240449752629762,1.0,5.0,1289897000.0,1644.0,784608.8807785888,182886.8613138686,76.6408,2026-03-13,0.1734384479830325,0.1734384479830325,0.9956617675854673,0.8572439828530728,0.6666666666666666,0.3048037889039242,2.0,1.0,1.0,3.3012151730407866,1.0,0.5033,76.6408,0.15245901088489322,2026-03-13,0.12838910081278598,1.0,2.0,0.06714876033057855,0.15082644628099165,0.5,0.3264,0.5,0.03305785123966945,0.016528925619834725,0.22639984853709816,0.09667145814925693,0.12972839038784123,1.0,,,,0.0,0.0911773889497098,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.022237886674374725,0.019697011961843917,8.0,1.0,0.9646981836536951,0.004593099460000305,0.009629078494846621,10.0,6.0,15.0,1.0,1.0,-1.4,0.0,-0.07967552100036865,1.0,0.85,1.0,0.865,0.4628067632653718,7.560152665435834e-05,0.03299121852732434,0.1498289172796749,-0.03209807783692673,0.09316951201078566,-0.02263426476857634,0.0,0.008246416423538155,True,True,True,True,3,3,True,1.69381472135524,0.00032139136680044914,0.2177140704511606,2.0,1.8519727098340315,-0.6522011142319767,0.7302359035577649,1.1903876934102462,-0.271158342790456,,-0.07967552100036865,0.6797022448268151,0.6577664586837517,-0.19354711362400143,0.02193578614306335,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.692386086427846,True,4,neutral,sector,neutral
BSM.US,,,US,3246583552.0,0.0834,0.0834,-0.004502324698738125,0.07889767530126188,0.23680659861001502,1125213000.0,,32200800.0,1157413800.0,0.3565020833321834,Energy,Oil & Gas E&P,NYSE,Black Stone Minerals LP,Common Stock,USA,,211729000.0,15.333674423437508,15.49,13.5454,0.9899079679430283,-0.010092032056971734,1.1320207910757532,1.0,5.0,422328000.0,0.0,,,19.2308,2026-02-23,0.07057613669600554,0.07057613669600554,0.6464826501447751,0.6496694531758791,0.6666666666666666,0.2520576131687243,2.0,1.0,1.0,0.5999975190153881,1.0,0.04999999999999999,19.2308,0.08333367791595425,2026-02-23,-0.095953125,1.0,2.0,-0.11250000000000002,-0.11250000000000002,-1.0,0.424,0.5,0.08333333333333341,0.041666666666666706,-0.08736840086678044,-0.24505480660199064,0.1576864057352102,1.0,,,,0.0,0.08228130297929945,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,0.00546982387121086,0.023344465017222555,8.0,1.0,0.98390625,-0.0060075431034483096,-0.0074838362068967434,4.0,9.0,9.0,1.0,1.0,-1.4,0.0,0.150535725243115,1.0,0.85,1.0,0.865,0.4389250251196935,0.4411524358895426,-0.0760991786337443,0.027751488947266884,-0.09276750647426285,0.006699539651347307,-0.04612307518297561,0.0,-0.015580447562662404,True,True,True,True,3,3,True,1.6064105543173735,1.875393138370097,-0.5021900577761458,0.7388234901955691,-0.2095471217160583,-1.8849437463022019,-1.0411937252292307,0.9804449433592446,-0.5525541367872726,,0.150535725243115,-0.38092591006967946,0.8781083909457906,0.11281938325759083,0.7652890076881997,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.6839582817542051,True,5,neutral,sector,neutral
CIEN.US,,,US,54306406400.0,0.0,0.0,0.00490531911978298,0.00490531911978298,0.33747167571492126,2729323000.0,2082427000.0,137269900.0,4949019900.0,0.09113141944151915,Technology,Communication Equipment,NYSE,Ciena Corp,Common Stock,USA,,145248000.0,373.8874641991628,419.8,180.7043,0.8906323587402639,-0.10936764125973608,2.0690568193405627,1.0,8.0,4769507000.0,8898.0,536020.1168801978,222427.399415599,16.3793,2026-03-05,0.17243075351859877,0.17243075351859877,0.5751414276637179,0.757858283255199,1.0,0.3955961653684841,14.0,1.0,1.0,1.6148296949110748,1.0,0.19000000000000017,16.3793,0.11765946625750096,2026-03-05,0.4094106518204297,1.0,16.0,0.055154883670019444,0.16484438660715375,0.875,1.0,1.0,0.43661749145616185,0.21830874572808093,0.3308731091339787,0.20271289693553673,0.12816021219844198,1.0,,,,0.0,0.3517213255590924,1.0,1.0,-3.110630045816575,ok,0.0,0.0,1.0,-0.013160130801786098,0.026765847206935322,8.0,1.0,0.8302979701905873,0.008803108485004763,0.03037039016071552,24.0,25.0,123.0,1.0,1.0,-1.4,0.0,-0.41367714734777583,1.0,1.0,1.0,0.865,0.03401041687697203,0.1988695174608397,-0.18740170427327865,0.12349222180561217,0.11859987696284602,0.15418491727258854,0.157245947051178,0.0,0.041367714734777586,True,True,True,True,3,3,True,0.1452843599282126,0.7521556462257265,-1.1603456778927912,2.0,0.2843676012130896,1.6822677583382415,1.4768719670580888,1.1774903213058736,1.6716066393055933,-1.1938326642470172,0.36647836955146545,1.471413208349241,-0.09470307731579261,-0.36724276866458827,1.5661162856650337,growth,0.35,0.354690172345744,0.400605183528483,0.24470464412577295,1.175,1.175,1.0875,1.175,1.0,0.6403689078915354,True,6,neutral,sector,neutral
IRDM.US,,,US,2665901568.0,0.0236,0.0,0.09979798317082944,0.09979798317082944,0.26632935718521744,462600000.0,63521200.0,95320300.0,621441500.0,0.23310744382292212,Communication Services,Telecom Services,NASDAQ,Iridium Communications Inc,Common Stock,USA,,107837000.0,24.721585058931534,32.5963,22.0429,0.7584169080212029,-0.24158309197879713,1.1215214449519588,0.0,8.0,871659000.0,975.0,894009.2307692308,691366.1538461539,14.6723,2026-02-12,0.029744151496357896,0.029744151496357896,0.5276566206294347,0.548412489847313,1.0,0.10278810408921935,5.0,1.0,1.0,0.39456953309501425,1.0,0.03470000000000001,14.6723,0.08794394166171994,2026-02-12,0.055935335207738496,1.0,3.0,-0.017786259541984636,-0.07251908396946563,0.0,0.4408,0.75,0.29770992366412224,0.14885496183206112,-0.00023944673718612197,0.06656922230943119,-0.06680866904661731,1.0,,,,0.0,-0.0055651429738057395,1.0,1.0,-3.238457575908721,ok,0.0,0.0,1.0,-0.03293177129311577,0.00924004058477817,8.0,1.0,0.9626308147560837,0.005301703336302643,-0.0024222496028649676,11.0,8.0,17.0,1.0,1.0,-1.4,0.0,-1.127082165061123,1.0,0.925,1.0,0.865,0.46312133413915035,0.21390197532999253,-0.18723517911827198,0.016825885086009747,0.04159251727895414,-0.04305191086495186,-0.0538600431605595,0.0,0.11665300408382621,True,True,True,True,3,3,True,1.6949660113086458,0.9093235448395421,-1.2355934335595808,0.36289578146431634,0.0005360261846701375,0.7765955707221985,-0.4315395065692827,-0.4730562754349545,-0.6452429621798735,-1.5144906196738042,-0.7396737104484418,-0.7575298895542684,1.439879208622188,-1.0083740560316548,2.1974090981764567,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.5679475827741497,True,7,neutral,sector,neutral
ZD.US,,,US,1669475840.0,0.0,0.0,0.07684641940365577,0.07684641940365577,0.27737213325886506,1753575000.0,202588400.0,123272900.0,2079436300.0,1.2455623796268893,Communication Services,Advertising Agencies,NASDAQ,Ziff Davis Inc,Common Stock,USA,,41098514.0,40.62131881459266,50.55,34.9635,0.8035869201699835,-0.19641307983001655,1.1618207220270471,1.0,6.0,1451268000.0,3900.0,372120.0,260538.20512820513,-5.5351,2026-02-23,-0.010020755520735905,-0.010020755520735905,-0.21785583432301855,0.6496694531758791,1.0,0.07080090750610979,7.0,1.0,1.0,-0.6899577037003041,1.0,-0.1499999999999999,-5.5351,0.21740463103105692,2026-02-23,-0.1282662310921316,1.0,5.0,-0.0031383813399292622,-0.02605122476661613,-0.8,0.2744,1.0,0.150416234474321,0.0752081172371605,-0.014802954292759796,0.028652638723909662,-0.04345559301666946,1.0,,,,0.0,0.036438891377074845,1.0,1.0,-2.8332754514423866,ok,0.0,0.0,1.0,-0.05341893269694016,0.018831346097332682,8.0,1.0,0.7936192529242383,0.04833147685808348,0.1404529891270595,14.0,5.0,31.0,1.0,1.0,-1.4,0.0,-0.31619779320261077,1.0,1.0,1.0,0.865,0.3295505091005731,0.2453062176807824,0.1249579353576487,-0.05122470438269119,-0.06730515862389774,-0.04231439801301817,-0.01315814633771187,0.0,0.032726471596470214,True,True,True,True,3,3,True,1.2061135403602479,1.042826832658017,0.8246164269244738,-0.4326479376189303,-1.0098591940473554,-1.1624379727788903,-0.4419885370370031,-0.4503547472315271,-0.15763450642680965,-0.49808303115825686,-0.13431255524696473,-1.2264434330381058,1.4492079720443931,0.7003999820884522,0.7488079899559409,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.5585387263781554,True,8,neutral,sector,neutral
INCY.US,,,US,18066534400.0,0.0,0.0,0.04669168289554937,0.04669168289554937,0.6758471181190269,5167478000.0,5971611000.0,773390000.0,11912479000.0,0.659367133521745,Healthcare,Biotechnology,NASDAQ,Incyte Corporation,Common Stock,USA,,200700000.0,90.01761036372696,112.29,89.6732,0.8016529554165728,-0.19834704458342722,1.0038407279290464,1.0,7.0,5141242000.0,2844.0,1807750.35161744,1653490.1547116737,-5.7592,2026-02-10,-0.000100044813129514,-0.000100044813129514,-0.22637752253517346,0.5317753794688818,1.0,0.0008310612798343766,19.0,1.0,1.0,-0.4044534509691376,1.0,-0.10999999999999988,-5.7592,0.2719719654670312,2026-02-10,0.041412045205933945,1.0,21.0,-0.003353182632826492,-0.0006590738278313175,-0.38095238095238093,0.6556,1.0,0.7758570850436491,0.38792854252182457,0.2783893753955635,0.20047000055366548,0.07791937484189804,1.0,,,,0.0,-0.06692499245031934,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.03672726646066635,0.03327112552901303,8.0,1.0,0.9567206541434722,0.0073187852009960475,-0.0019468306701864169,17.0,8.0,29.0,1.0,1.0,-1.4,0.0,0.7770630177837003,1.0,1.0,1.0,0.865,0.30708659641782077,0.34443547216583387,0.1191471799425992,-0.05060729533706507,-0.03481088133512045,0.046858293815136794,-0.09507218081032849,0.0,-0.08042602234061298,True,True,True,True,3,3,True,1.1238984367329334,1.4642374575322648,0.7862703678736762,-0.5078474346562231,-0.8770661322470471,-0.6012242026791097,0.44083331189494535,0.5384939022157076,-1.1389640996774804,,0.7770630177837003,-0.005550151240887452,1.7113283765633198,-0.27830108212544363,1.7168785278042074,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.5566111625182636,True,9,neutral,sector,neutral
SPH.US,,,US,1333262720.0,0.0647,0.0647,-0.0115359109205595,0.053164089079440494,0.13181727354836575,598571000.0,,56050200.0,654621200.0,0.4909919029311792,Utilities,Utilities - Regulated Gas,NYSE,Suburban Propane Partners LP,Common Stock,USA,,65589000.0,20.32753540990105,20.8,18.9478,0.9772853562452427,-0.02271464375475729,1.0728177102302667,1.0,7.0,1432518000.0,3190.0,449065.2037617555,94886.70156739812,-4.0685,2026-02-05,-0.0,-0.0,-0.16131837301911597,0.0,0.3333333333333333,0.5,1.0,1.0,1.0,-0.41410005671533684,1.0,-0.02969999999999995,-4.0685,0.071721796503922,2026-02-05,0.0578390243902439,1.0,1.0,0.019512195121951237,0.019512195121951237,1.0,-0.1136,0.25,0.0,0.0,-0.0078831272148695,0.013108641158736667,-0.020991768373606168,1.0,,,,0.0,0.03938138633550833,1.0,1.0,-1.6185255710691606,ok,0.0,0.0,1.0,0.03983159614105038,0.033413326862620274,8.0,1.0,0.361,,,1.0,1.0,1.0,1.0,1.0,-1.4,0.0,1.3903188606350063,1.0,0.7749999999999999,1.0,0.865,0.44872998381547663,0.3708637088137728,-0.06751407174215682,-0.0421128037537066,-0.04066031906255994,-0.011592247675838564,0.03243104897659457,0.0,-0.14389800207572315,True,True,True,True,3,3,True,1.6422954736820343,1.576587134506905,-0.4455356312329802,-0.2196372291288431,-1.0343007545485292,-0.9061300142082556,-0.3734459916651465,0.08310013516496272,0.3885237530515388,1.9945995787266024,0.7860381425434102,-0.7287413918433936,0.52415844129743,0.3635284445494586,0.16062999674797135,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.5462472972958589,False,10,neutral,sector,neutral
