run_id,symbol,sector,industry,rank,target_weight,is_previous_holding,selection_reason,force_sell_reason,composite_score,shareholder_yield,gross_profitability,adjusted_book_to_market,pead_signal,sentiment_acceleration,dividend_safety_pass,price_to_200dma,target_date
2026-03-23T12:40:49Z,DLX.US,Industrials,Conglomerates,1,0.05,False,buy_buffer_entry,,0.9632667091981288,0.0289173742929327,0.3949224748568236,1.031142123786739,0.0,-0.0029481446355643,1.0,1.2621372804162223,2026-03-17
2026-03-23T12:40:49Z,CMPR.US,Industrials,Specialty Business Services,3,0.05,False,buy_buffer_entry,,0.8943864429211748,0.0506512813868199,0.821811818647416,0.2834997508291288,0.0,,1.0,1.047334572696107,2026-03-17
2026-03-23T12:40:49Z,RNG.US,Technology,Software - Application,4,0.05,False,buy_buffer_entry,,0.8776848282963847,0.053065682336337,1.2090384115616066,0.1747194457092721,0.0372573345067576,0.0044336961670848,1.0,1.2454908613151616,2026-03-17
2026-03-23T12:40:49Z,TCMD.US,Healthcare,Medical Devices,5,0.05,False,buy_buffer_entry,,0.8771451005249511,0.0349203529469666,0.9042133006256798,0.4954363995246356,0.0268717358802888,,1.0,1.2800266636460975,2026-03-17
2026-03-23T12:40:49Z,PRLB.US,Industrials,Metal Fabrication,6,0.05,False,buy_buffer_entry,,0.7849340905499015,0.0383468586387434,0.3118766891780813,0.6302132186620882,0.1526758238348153,-0.0065748291015625,1.0,1.088927763465378,2026-03-17
2026-03-23T12:40:49Z,ITRN.US,Technology,Scientific & Technical Instruments,7,0.05,False,buy_buffer_entry,,0.7238296789824065,0.1242053282396702,0.4623783705406847,0.2994982389604477,0.033543468138824,0.0152499999999999,1.0,1.199566701435781,2026-03-17
2026-03-23T12:40:49Z,FET.US,Energy,Oil & Gas Equipment & Services,8,0.05,False,buy_buffer_entry,,0.7019582334749024,0.0338238881209854,0.2910951485470892,0.6453299993075036,0.0689227121542871,0.0686249999999999,1.0,1.664580353805559,2026-03-17
2026-03-23T12:40:49Z,FERG.US,Industrials,Industrial Distribution,9,0.05,False,buy_buffer_entry,,0.6852564530749626,0.0353302211302211,0.532178915900502,0.1892651014775881,0.0,0.005642696001435,1.0,1.1071548209806827,2026-03-17
2026-03-23T12:40:49Z,MYRG.US,Industrials,Engineering & Construction,10,0.05,False,buy_buffer_entry,,0.6719442279275014,0.0520854411230787,0.25777593412482,0.2001899162563348,0.0370870824867663,-0.0075734345886656,1.0,1.2024673652070534,2026-03-17
2026-03-23T12:40:49Z,DTE.US,Utilities,Utilities - Regulated Electric,11,0.05,False,buy_buffer_entry,,0.6424628037521627,0.0319,0.2484370954019161,0.4177817981885025,0.0,0.1830628312126009,1.0,1.0376092791161051,2026-03-17
2026-03-23T12:40:49Z,BSM.US,Energy,Oil & Gas E&P,12,0.05,False,buy_buffer_entry,,0.637157304848839,0.0788976753012618,0.236806598610015,0.3565020833321834,0.0705761366960055,-0.0074838362068967,1.0,1.1320207910757532,2026-03-17
