rank,symbol,analysis_symbol,company_name,sector,industry,valuation_symbol,valuation_currency_code,current_price,current_price_source,current_price_as_of_date,current_price_proxy,price_proxy_gap_pct,price_history_fetch_error,fair_value_low,fair_value_base,fair_value_high,upside_to_base,expected_3y_cagr,valuation_confidence,valuation_confidence_label,valuation_method,valuation_reason_code,normalized_eps_per_share,normalized_fcf_per_share,current_anchor_multiple,target_multiple_low,target_multiple_base,target_multiple_high,expected_growth_rate,shareholder_yield_component,multiple_reversion_component,reversion_dependency,band_width_ratio,cheap_to_low_band,cheap_to_base,valuation_gap_pct,extreme_anchor_flag,rank_percentile,valuation_percentile,valuation_tension,valuation_actionable
1,TCMD.US,TCMD.US,Tactile Systems Technology Inc,Healthcare,Medical Devices,TCMD.US,USD,22.88193203375372,price_proxy,,22.88193203375372,0.0,RuntimeError: /eod/TCMD.US failed with HTTP 403: Forbidden,13.402684350175733,19.519226887010817,26.488966701258022,-0.14695896927682905,0.050657669060576005,0.23971798325708796,low,blended_fcf_eps,blended_low,0.5218851513745509,1.2856750701138007,24.04243754361002,15.30320763723535,20.311716956771527,25.320226276307707,0.07390268230921612,0.034920352946966604,-0.05465707158882227,1.0789495964266302,0.6704303621671939,False,False,0.17227655409757214,False,1.0,0.5263157894736842,0.4736842105263158,False
2,ITRN.US,ITRN.US,Ituran Location and Control Ltd,Technology,Scientific & Technical Instruments,ITRN.US,USD,53.59274791184462,price_proxy,,53.59274791184462,0.0,RuntimeError: /eod/ITRN.US failed with HTTP 403: Forbidden,41.14743027117269,59.181124869192914,79.6465187065564,0.10427487253575207,0.207094985076828,0.4066384946096375,low,blended_fcf_eps,blended_low,2.4878237771013505,2.8456316524176666,20.002059839012745,16.747776157616492,22.021333944343326,27.294891731070155,0.05022467328249447,0.11310532823967026,0.032578235647733766,0.15731059656344604,0.650529852558187,False,True,-0.09442836664054954,False,0.9473684210526316,0.7368421052631579,0.21052631578947378,False
3,MSM.US,MSM.US,MSC Industrial Direct Company Inc,Industrials,Industrial Distribution,MSM.US,USD,95.37804100619029,price_proxy,,95.37804100619029,0.0,RuntimeError: /eod/MSM.US failed with HTTP 403: Forbidden,60.42046679564441,87.00563971575843,117.18752707662358,-0.08778122513428921,0.028405416752212087,0.2578819187400972,low,blended_fcf_eps,cyclical_normalized,4.752840911984322,5.08586006360278,19.34229358398725,13.394128681961472,17.627603130152146,21.861077578342822,0.013988203859504073,0.046091536294537674,-0.030468855842635145,1.0726424508544612,0.6524526509595624,False,False,0.09622825965976367,False,0.8947368421052632,0.5789473684210527,0.3157894736842105,False
4,GCT.US,GCT.US,GigaCloud Technology Inc Class A Ordinary Shares,Technology,Software - Infrastructure,GCT.US,USD,43.17466504436402,price_proxy,,43.17466504436402,0.0,RuntimeError: /eod/GCT.US failed with HTTP 403: Forbidden,43.79088874787462,63.848914462693784,86.71338591145016,0.4788514142978526,0.46338997777281854,0.3745256995507891,low,blended_fcf_eps,blended_low,2.502372531674995,3.0980549470307612,15.307357254070517,16.961507458806672,22.5321995573443,28.102891655881926,0.2,0.0720401234668282,0.13754291602477497,0.29681892708565816,0.672251008882143,True,True,-0.3237995444763513,False,0.8421052631578947,0.8421052631578947,0.0,False
5,CNC.US,CNC.US,Centene Corp,Healthcare,Healthcare Plans,CNC.US,USD,37.35328028737189,price_proxy,,37.35328028737189,0.0,RuntimeError: /eod/CNC.US failed with HTTP 403: Forbidden,61.41111841867739,89.91322849878583,122.44720931348544,1.407103949293123,0.5174747121926573,0.3114311085608183,low,blended_fcf_eps,blended_low,1.484238774497781,7.449566981108926,7.997249243005432,14.207197311783167,18.932411169527214,23.657625027271266,0.07172912752054694,0.062383530885318006,0.3327696635156341,0.6430645897760179,0.6788332697410846,True,True,-0.5845630180226895,False,0.7894736842105263,0.8947368421052632,-0.10526315789473684,False
6,STRA.US,STRA.US,Strategic Education Inc,Consumer Defensive,Education & Training Services,STRA.US,USD,80.87473491388755,price_proxy,,80.87473491388755,0.0,RuntimeError: /eod/STRA.US failed with HTTP 403: Forbidden,56.886559482402845,82.50168995981349,111.65007328255729,0.020116975315693564,0.14079488543117713,0.3869754981333055,low,blended_fcf_eps,blended_low,3.9395066469959152,4.913705227519606,18.1332032522954,13.93952700291581,18.443638555270418,22.947750107625026,0.04614469525159005,0.0843224523612262,0.005674313507298079,0.04030198604104676,0.6637865700306225,False,True,-0.019720263266345572,False,0.736842105263158,0.631578947368421,0.10526315789473695,False
7,RNG.US,RNG.US,Ringcentral Inc,Technology,Software - Application,RNG.US,USD,32.601470048545345,price_proxy,,32.601470048545345,0.0,RuntimeError: /eod/RNG.US failed with HTTP 403: Forbidden,54.45532217968613,81.24058896385847,112.00072446293265,1.4919302363631721,0.5023590769487465,0.2646438526200724,low,normalized_fcf_multiple,fcf_anchor,-1.6715925004546888,3.712949306908011,8.780478092682198,16.18884737908529,21.880338848879205,27.571830318673122,0.06035559423957029,0.04506568233633701,0.3557469203167689,0.7081526673659849,0.7083331499337944,True,True,-0.5987046565719905,False,0.6842105263157895,0.9473684210526315,-0.26315789473684204,False
8,OMAB.US,OMAB.US,Grupo Aeroportuario del Centro Norte SAB de CV,Industrials,Airports & Air Services,OMAB.US,USD,115.83012477956542,price_proxy,,115.83012477956542,0.0,RuntimeError: /eod/OMAB.US failed with HTTP 403: Forbidden,1198.3177746005363,1766.135529674858,2415.667558191209,14.24763556143934,1.754349344716661,0.2635959452825722,low,blended_fcf_eps,cyclical_normalized,99.09001932556143,111.85419259110225,1.0938014917927614,12.430779790288852,16.647886479955865,20.864993169622885,0.06631639510474892,0.0423,1.478221943596198,0.8426040959561225,0.6892731407848324,True,True,-0.9344160610364429,False,0.631578947368421,1.0,-0.368421052631579,False
9,IRDM.US,IRDM.US,Iridium Communications Inc,Communication Services,Telecom Services,IRDM.US,USD,33.52796179418938,price_proxy,,33.52796179418938,0.0,RuntimeError: /eod/IRDM.US failed with HTTP 403: Forbidden,15.534672767791532,23.99270039974275,33.81328244341119,-0.28439728764243455,0.03656637420105202,0.13627576635300317,low,blended_fcf_eps,blended_low,0.6147391437932698,2.3594813051210926,21.416384133034338,10.847070769347336,15.049255227697241,19.251439686047142,0.04353050313663887,0.11729798317082944,-0.11095661839226456,3.0343894032860472,0.7618404502652665,False,False,0.397423434443789,False,0.5789473684210527,0.3684210526315789,0.21052631578947373,False
10,EME.US,EME.US,EMCOR Group Inc,Industrials,Engineering & Construction,EME.US,USD,797.3513026569888,price_proxy,,797.3513026569888,0.0,RuntimeError: /eod/EME.US failed with HTTP 403: Forbidden,250.47062580021498,362.20694280001135,489.2359015057503,-0.5457373160449597,-0.11481221879386039,0.21656915211755107,low,blended_fcf_eps,cyclical_normalized,18.05363089472743,21.204139007937272,40.39657848315285,13.8692615152824,18.310946029773138,22.752630544263877,0.10893856379699626,0.039136318578020864,-0.23183343554207947,2.0192400946307365,0.6591957455585465,False,False,1.2013694615932242,True,0.5263157894736843,0.10526315789473684,0.42105263157894746,False
