symbol,error,error_stage,region,market_cap,dividend_yield,safe_dividend_yield,buyback_yield,shareholder_yield,gross_profitability,base_book_equity,rd_asset_5y,sga_asset_3y_30pct,adjusted_book,adjusted_book_to_market,sector,industry,exchange,currency_code,currency_name,company_name,asset_type,country,payout_ratio,shares_outstanding,price_proxy,52_week_high,200_day_ma,recency_ratio,distance_from_high,price_to_200dma,dividend_safety_pass,piotroski_score,total_revenue,full_time_employees,revenue_per_employee,gross_profit_per_employee,earnings_surprise_pct,earnings_report_date,pead_signal,pead_signal_v2,pead_surprise_component,pead_decay_component,pead_breadth_component,pead_revision_component,pead_analyst_count,pead_filter_pass,pead_has_setup_coverage,sue_signal,sue_has_coverage,sue_surprise_raw,sue_surprise_pct,sue_std_error,sue_report_date,revision_impulse_signal,revision_impulse_has_coverage,revision_impulse_analyst_count,revision_impulse_drift_7d,revision_impulse_drift_30d,revision_impulse_breadth,revision_impulse_growth_component,revision_impulse_coverage_component,revision_impulse_disagreement,revision_impulse_disagreement_penalty,revenue_growth_yoy,revenue_growth_yoy_prev,revenue_acceleration,revenue_growth_has_coverage,price_momentum_1m,price_momentum_6m,price_momentum_6m_ex_1m,price_momentum_has_coverage,price_momentum_effective_signal,price_momentum_signal_coverage,price_momentum_proxy_used,beneish_m_score,beneish_data_status,beneish_is_missing,beneish_is_pathological_clipped,beneish_hard_filter_pass,accrual_ratio,accrual_volatility,accrual_measure_count,accrual_is_quarterly,sentiment_latest,sentiment_speed,sentiment_acceleration,sentiment_count_days,sentiment_article_count_recent,sentiment_article_count_total,sentiment_latest_count,sentiment_filter_pass,news_event_signal,news_event_effective_signal,news_event_breadth,news_article_count_recent,news_positive_article_share,news_negative_article_share,news_novelty_score,news_saturation_score,news_peer_spillover_signal,news_confirmation_signal,news_macro_multiplier,news_unique_title_ratio,news_novelty_multiplier,news_saturation_multiplier,news_peer_coverage,news_confirmation_coverage,beneish_hard_filter_threshold,beneish_missing_penalty_applied,forensic_penalty,earnings_signal_confidence,revision_signal_confidence,growth_signal_confidence,momentum_signal_confidence,news_signal_confidence,contrib_shareholder_yield,contrib_gross_profitability,contrib_adjusted_book_to_market,contrib_earnings,contrib_revision_impulse,contrib_growth,contrib_momentum,contrib_news_event,contrib_employee_efficiency,contrib_forensic,passes_size,passes_trend_gate,passes_quality_gate,passes_forensic_gate,factor_non_null_count,factor_positive_count,passes_factor_gate,z_shareholder_yield,z_gross_profitability,z_adjusted_book_to_market,z_pead_signal,z_beneish_risk,z_accrual_volatility_risk,news_own_confidence,news_has_coverage,composite_score,sentiment_has_coverage,rank,regime,neutralize_by,macro_state
NEX.PA,,,FR,5054509568.0,0.0258,0.0,0.01815555555555559,0.01815555555555559,0.1128670980587357,1995000000.0,229400000.0,275200000.0,2499600000.0,0.4945286909386656,Industrials,Electrical Equipment & Parts,PA,EUR,Euro,Nexans S.A.,Common Stock,France,,44183000.0,114.3994198673698,145.3,124.0068,0.787332552425119,-0.21266744757488099,0.9225253765710413,0.0,6.0,7810000000.0,12669.0,616465.3879548504,71592.07514405242,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,0.2015928240612911,-0.24392509074417182,-0.011900734643353674,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,0.5039820601532277,-0.6969288306976338,-0.047602938573414695,,,,0.0,False,-0.054233001326234404,False,49,neutral,sector,neutral
WMT.XETRA,,,DE,826738147328.0,0.0081,0.0081,0.0073010765994308,0.0154010765994308,0.6244748275928736,99713683000.0,,41073900000.00001,140787583000.0,0.17029283510749135,Consumer Defensive,Discount Stores,XETRA,EUR,Euro,Walmart Inc,Common Stock,Germany,,8022000000.0,103.05885656045874,113.3479,92.9015,0.9092259897224275,-0.09077401027757248,1.1093346884652964,1.0,7.0,713855158000.0,2100000.0,339931.0276190476,84733.58666666667,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,-0.30462690046717855,0.4803630431578797,-0.24037415431247358,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,-0.7615672511679463,1.372465837593942,-0.9614966172498943,,,,0.0,False,-0.06463801162177243,False,50,neutral,sector,neutral
HO.PA,,,FR,49139585024.0,0.0161,0.0161,0.0006892501249872174,0.016789250124987217,0.14948640545109998,7968400000.0,3642200000.0,892690000.0,12503290000.0,0.2544443546662703,Industrials,Aerospace & Defense,PA,EUR,Euro,Thales S.A.,Common Stock,France,,205879000.0,238.68187150705026,278.0912,244.5055,0.8582863158095266,-0.14171368419047337,0.9761820143393513,1.0,9.0,22136400000.0,84958.0,260556.98109654183,68895.21881400222,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,0.1625230245298286,-0.07795507305695762,-0.17367777523260816,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,0.4063075613245715,-0.22272878016273606,-0.6947111009304326,,,,0.0,False,-0.08910982375973717,False,51,neutral,sector,neutral
NDA.XETRA,,,DE,6583782400.0,0.0104,0.0104,0.0,0.0104,0.11098729663472254,5013000000.0,28129000.0,94460200.0,5135589200.0,0.7800362903852959,Industrials,Metal Fabrication,XETRA,EUR,Euro,Aurubis AG,Common Stock,Germany,,43659000.0,150.80011910488102,176.2,118.391,0.8558463059300853,-0.14415369406991474,1.2737464765470434,1.0,6.0,18171000000.0,7228.0,2513973.436635307,137797.45434421694,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,-0.020178965782673364,-0.25244493171901694,0.18048405489082656,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,-0.0504474144566834,-0.7212712334829056,0.7219362195633062,,,,0.0,False,-0.09213984261086375,False,52,neutral,sector,neutral
ADM.XETRA,,,DE,28397475840.0,0.031,0.031,0.018255578093306246,0.049255578093306246,0.09606978636740997,22741549000.0,489400000.0,2169500000.0,25400449000.0,0.8944615057730427,Consumer Defensive,Farm Products,XETRA,EUR,Euro,Archer-Daniels-Midland Company,Common Stock,Germany,,484000000.0,58.672470743801654,66.7,52.2573,0.8796472375382557,-0.12035276246174431,1.1227612361105845,1.0,5.0,80274467402.0,40798.0,1967607.9072993775,123372.29312711407,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,0.15965772036384474,-0.46508897005832817,0.2121710399142683,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,0.39914430090961184,-1.3288256287380806,0.8486841596570732,,,,0.0,False,-0.09326020978021513,False,53,neutral,sector,neutral
KHNZ.XETRA,,,DE,21629382656.0,0.073,0.0,0.023045267489711918,0.023045267489711918,0.10159440491037586,41664000000.0,167000000.0,2049500000.0,43880500000.0,2.0287449113961435,Consumer Defensive,Packaged Foods,XETRA,EUR,Euro,Kraft Heinz Co,Common Stock,Germany,,1187000000.0,18.221889347935974,26.7982,21.7186,0.6799669137455491,-0.3200330862544509,0.8389992609070555,0.0,5.0,24942000000.0,35000.0,712628.5714285715,237400.0,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,-0.19979356627390477,-0.4601205177178172,0.5665874382611561,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,-0.49948391568476186,-1.314630050622335,2.2663497530446244,,,,0.0,False,-0.09332664573056582,False,54,neutral,sector,neutral
DAP.XETRA,,,DE,117565267968.0,0.0083,0.0,0.028621812262615287,0.028621812262615287,0.17400316308849134,52537578000.0,4813508844.0,4747500000.0,62098586844.0,0.5282052081989262,Healthcare,Diagnostics & Research,XETRA,EUR,Euro,Danaher Corporation,Common Stock,Germany,,716100000.0,164.1743722496858,208.3,180.7245,0.7881630928933547,-0.21183690710664527,0.9084234414796323,0.0,5.0,24569673412.0,58000.0,423615.0588275862,250413.60710344827,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,0.23258374392286543,-0.33152004101767524,-0.005416341025764623,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,0.5814593598071636,-0.9472001171933578,-0.021665364103058492,,,,0.0,False,-0.10435263812057442,False,55,neutral,sector,neutral
SPG.XETRA,,,DE,4618527744.0,0.0,0.0,0.0,0.0,0.2986861151319452,1810700000.0,,115360000.0,1926060000.0,0.4170289985812414,Communication Services,Publishing,XETRA,EUR,Euro,Springer Nature AG & Co KGaA,Common Stock,Germany,,198888989.0,23.221636186204357,24.65,25.1301,0.9420542063368909,-0.057945793663109146,0.9240566566071905,1.0,8.0,1847100000.0,9200.0,200771.73913043478,174945.65217391305,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,-0.30687523933243277,0.27751989347178074,-0.1324170129097362,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,2,True,-0.7671880983310818,0.792913981347945,-0.5296680516389448,,,,0.0,False,-0.16177235877038823,False,56,neutral,sector,neutral
EBK.XETRA,,,DE,22124840960.0,0.0226,0.0226,0.0,0.0226,0.13982609832025725,10232900000.0,84780000.0,767080000.0,11084760000.0,0.5010097030772057,Utilities,Utilities - Diversified,XETRA,EUR,Euro,EnBW Energie Baden-Württemberg AG,Common Stock,Germany,,270855000.0,81.68518565284008,74.8,68.1855,1.092047936535295,0.09204793653529508,1.197984698401274,1.0,6.0,34524400000.0,29139.0,1184817.5984076324,308442.29383300734,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,0.10053239274501458,-0.26321407420830467,-0.010809906277408821,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,0.25133098186253644,-0.7520402120237276,-0.043239625109635284,,,,0.0,False,-0.17349158774069892,False,57,neutral,sector,neutral
HEN3.XETRA,,,DE,27927648256.0,0.028,0.0,0.013021027234289329,0.013021027234289329,0.31400125948361174,20494000000.0,1836400000.0,2439400000.0,24769800000.0,0.8869275269061881,Consumer Defensive,Household & Personal Products,XETRA,EUR,Euro,Henkel AG & Co. KGaA vz. (Pref Shares),Common Stock,Germany,,414407280.0,67.39178968091487,84.2,71.9838,0.8003775496545709,-0.19962245034542914,0.9362077256398643,0.0,8.0,20495000000.0,42200.0,485663.5071090047,248127.96208530807,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,-0.33726717778018916,-0.0780730241080897,0.2074629296801327,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,-0.8431679444504728,-0.2230657831659706,0.8298517187205308,,,,0.0,False,-0.20787727220814617,False,58,neutral,sector,neutral
